ItemID,Sentiment,SentimentText
75,0,  i wanna make my own pizza
76,0,"i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
77,0,  i want a hug
78,0,  I want Miley to tour Australia
79,0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
80,0,i was too slow to get $1 Up tix
81,0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
82,0,I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather
83,0,"  i would be so much happier if the walls of my bedroom were painted white,"
84,0,idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
85,0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
86,1,  I'm really going to bed now...
87,0,  im sick  'cough cough'
88,0,  in cab headed to the airport!  going home.... &lt;christy&gt;
89,0,In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
90,1,  Jin has a twitter.
91,0,  jonas day is almost over... 
92,0,Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
93,1,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
94,1,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
95,0,- Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
96,0,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
97,0,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
98,0,  My new car was stolen....by my mother who wanted to go pose at church.
99,0,"no hang out with the girls 2day. 2moro, hope so......"
100,0,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
101,0,  no pavel tonight &lt;Tigersfan &gt;
102,0,  not a cool night.
103,1,  oh thank you!
104,1,  pleased
105,0,  probably guna get off soon since no one is talkin no more
106,0,  really wanted Safina to pull out a win &amp; to lose like that...
107,0,"  RIP, David Eddings."
108,1,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
109,0,- sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
110,0,  so whats the status on next weekend
111,0,sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
112,0,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
113,1,"  Thanks, I need all the help i can get."
114,1, - that explains alot.
115,1,There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
116,0,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
117,1,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
118,1,"True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
119,0,  u guys knw whyy
120,0,  very much so 
121,0,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
122,0,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
123,0,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
124,0,  where is my picture i feel naked 
125,0,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
126,0,- Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
127,0,Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
128,1,  wide awake   NOT!!!
129,1,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
130,0,- You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
131,0,you'll always be my one and only...  [12*23*2007]
132,0,#3turnoffwords this shit sucks
133,0,#asylm J2 panel is over. Guess it's back to normal life.
134,1,#poemsunder140 ....started by @shannonelyse1
135,0, #squarespace brighten my bad day! i never win anything...
136,0," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
137,0,#twenty20
138,1," &lt;--- That is all, and believe me.. it's enough!"
139,1,&lt;3 goooood timessss
140,0,&lt;3 GrAdUaTE 09&lt;3
141,0,"&quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
142,0,&quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far